timestamp,memory.used [MiB],utilization.gpu [%],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/06/23 18:10:06.119, 0, 0, 37, 65.05, 2520
2026/06/23 18:10:11.198, 0, 0, 35, 22.88, 270
2026/06/23 18:10:16.298, 13777, 24, 39, 126.10, 2640
2026/06/23 18:10:21.399, 15941, 88, 49, 304.91, 2625
2026/06/23 18:10:26.481, 17581, 92, 49, 300.48, 2625
2026/06/23 18:10:31.586, 17981, 97, 51, 332.77, 2625
2026/06/23 18:10:36.650, 17981, 98, 52, 305.48, 2625
2026/06/23 18:10:41.753, 17981, 65, 53, 296.01, 2625
2026/06/23 18:10:46.854, 17981, 88, 54, 302.02, 2625
2026/06/23 18:10:51.939, 17981, 71, 55, 310.62, 2625
2026/06/23 18:10:57.026, 17981, 100, 55, 307.01, 2625
2026/06/23 18:11:02.124, 17981, 100, 53, 328.14, 2625
2026/06/23 18:11:07.226, 17981, 89, 56, 307.94, 2610
2026/06/23 18:11:12.331, 17981, 78, 57, 315.17, 2610
2026/06/23 18:11:17.434, 17981, 68, 57, 314.99, 2610
2026/06/23 18:11:22.518, 17981, 71, 58, 327.56, 2610
2026/06/23 18:11:27.601, 17981, 67, 54, 311.52, 2610
2026/06/23 18:11:32.686, 17981, 89, 59, 325.46, 2610
2026/06/23 18:11:37.769, 17981, 76, 60, 328.45, 2610
2026/06/23 18:11:42.833, 17981, 75, 60, 330.43, 2610
2026/06/23 18:11:47.913, 17981, 81, 59, 316.00, 2610
2026/06/23 18:11:52.993, 17981, 90, 60, 331.18, 2610
2026/06/23 18:11:58.094, 17981, 96, 60, 303.73, 2610
2026/06/23 18:12:03.194, 17981, 98, 61, 323.10, 2625
2026/06/23 18:12:08.295, 17981, 100, 61, 355.86, 2610
2026/06/23 18:12:13.397, 17981, 67, 59, 322.00, 2625
2026/06/23 18:12:18.460, 17981, 81, 60, 319.86, 2610
2026/06/23 18:12:23.561, 17981, 80, 60, 328.34, 2610
2026/06/23 18:12:28.643, 17981, 67, 61, 325.74, 2610
2026/06/23 18:12:33.746, 17981, 100, 61, 328.86, 2610
2026/06/23 18:12:38.846, 17981, 83, 61, 345.34, 2610
2026/06/23 18:12:43.947, 17981, 68, 59, 312.24, 2610
2026/06/23 18:12:49.050, 17981, 60, 60, 301.80, 2610
2026/06/23 18:12:54.134, 17981, 89, 63, 331.00, 2610
2026/06/23 18:12:59.200, 17981, 27, 54, 232.00, 2625
2026/06/23 18:13:04.298, 17981, 86, 60, 340.17, 2610
2026/06/23 18:13:09.397, 17981, 80, 56, 310.57, 2610
2026/06/23 18:13:14.497, 17981, 76, 59, 315.11, 2610
2026/06/23 18:13:19.597, 17981, 90, 60, 314.20, 2610
