timestamp,memory.used [MiB],utilization.gpu [%],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/06/23 17:40:59.709, 0, 5, 37, 64.42, 2520
2026/06/23 17:41:04.770, 0, 0, 35, 21.44, 255
2026/06/23 17:41:09.870, 4895, 19, 37, 93.79, 2520
2026/06/23 17:41:14.951, 5319, 17, 37, 101.06, 2520
2026/06/23 17:41:20.066, 5325, 20, 37, 99.59, 2520
2026/06/23 17:41:25.141, 5325, 18, 37, 95.68, 2520
2026/06/23 17:41:30.217, 5325, 18, 37, 98.59, 2520
2026/06/23 17:41:35.277, 5333, 16, 37, 96.08, 2520
2026/06/23 17:41:40.355, 5333, 18, 38, 101.44, 2520
2026/06/23 17:41:45.435, 5373, 18, 38, 100.12, 2520
2026/06/23 17:41:50.496, 5373, 18, 37, 101.85, 2520
2026/06/23 17:41:55.574, 5373, 18, 38, 97.45, 2520
2026/06/23 17:42:00.653, 5373, 17, 37, 98.63, 2520
2026/06/23 17:42:05.729, 5373, 17, 37, 100.26, 2520
2026/06/23 17:42:10.806, 5433, 17, 37, 100.65, 2520
2026/06/23 17:42:15.907, 5433, 16, 37, 99.37, 2520
2026/06/23 17:42:21.014, 5433, 16, 38, 96.81, 2520
2026/06/23 17:42:26.114, 5433, 17, 38, 99.65, 2520
2026/06/23 17:42:31.214, 5433, 17, 38, 99.01, 2520
2026/06/23 17:42:36.313, 5473, 17, 38, 97.39, 2520
2026/06/23 17:42:41.373, 5473, 18, 37, 96.16, 2520
2026/06/23 17:42:46.436, 5473, 17, 38, 99.99, 2520
2026/06/23 17:42:51.514, 5473, 16, 38, 93.46, 2520
2026/06/23 17:42:56.618, 5473, 17, 38, 95.93, 2520
2026/06/23 17:43:01.717, 5473, 17, 37, 97.44, 2520
2026/06/23 17:43:06.815, 5473, 17, 38, 97.72, 2520
2026/06/23 17:43:11.913, 5473, 18, 37, 98.14, 2520
2026/06/23 17:43:17.018, 5473, 18, 37, 97.65, 2520
2026/06/23 17:43:22.100, 5473, 17, 37, 102.06, 2520
2026/06/23 17:43:27.195, 5473, 17, 37, 96.75, 2520
2026/06/23 17:43:32.298, 5473, 19, 37, 99.78, 2520
2026/06/23 17:43:37.378, 5473, 17, 38, 98.36, 2520
2026/06/23 17:43:42.458, 5473, 17, 38, 97.57, 2520
2026/06/23 17:43:47.557, 5473, 20, 37, 97.01, 2520
2026/06/23 17:43:52.657, 5473, 16, 37, 96.67, 2520
2026/06/23 17:43:57.717, 5473, 16, 37, 98.42, 2520
2026/06/23 17:44:02.826, 5473, 17, 37, 99.04, 2520
2026/06/23 17:44:07.889, 5473, 19, 38, 102.04, 2520
2026/06/23 17:44:12.986, 5473, 17, 37, 100.82, 2520
2026/06/23 17:44:18.086, 5473, 16, 37, 94.96, 2520
2026/06/23 17:44:23.166, 5473, 17, 38, 95.93, 2520
2026/06/23 17:44:28.266, 5473, 17, 37, 94.88, 2520
2026/06/23 17:44:33.366, 5473, 19, 37, 100.48, 2520
2026/06/23 17:44:38.428, 5473, 19, 38, 101.01, 2520
2026/06/23 17:44:43.488, 5473, 17, 37, 94.43, 2520
2026/06/23 17:44:48.590, 5473, 18, 37, 97.36, 2520
2026/06/23 17:44:53.690, 5473, 18, 37, 98.81, 2520
2026/06/23 17:44:58.790, 5473, 19, 38, 101.29, 2520
2026/06/23 17:45:03.892, 5473, 19, 37, 99.55, 2520
2026/06/23 17:45:08.978, 5473, 21, 38, 104.89, 2520
2026/06/23 17:45:14.040, 5473, 14, 37, 100.06, 2520
2026/06/23 17:45:19.117, 5473, 17, 37, 98.89, 2520
2026/06/23 17:45:24.176, 5473, 18, 38, 95.04, 2520
2026/06/23 17:45:29.274, 5473, 17, 38, 96.78, 2520
2026/06/23 17:45:34.373, 5473, 17, 37, 96.52, 2520
2026/06/23 17:45:39.477, 5473, 20, 37, 100.04, 2520
2026/06/23 17:45:44.562, 5473, 18, 37, 98.86, 2520
2026/06/23 17:45:49.661, 5473, 18, 37, 98.91, 2520
2026/06/23 17:45:54.766, 5473, 18, 37, 99.66, 2520
2026/06/23 17:45:59.870, 5473, 17, 38, 99.70, 2520
2026/06/23 17:46:04.950, 5473, 18, 37, 97.11, 2520
2026/06/23 17:46:10.035, 5473, 17, 38, 94.91, 2520
2026/06/23 17:46:15.147, 5473, 18, 37, 97.56, 2520
2026/06/23 17:46:20.229, 5473, 20, 38, 100.29, 2520
2026/06/23 17:46:25.310, 5473, 18, 38, 98.85, 2520
2026/06/23 17:46:30.373, 5473, 18, 37, 96.51, 2520
2026/06/23 17:46:35.453, 5473, 18, 38, 97.58, 2520
2026/06/23 17:46:40.512, 5473, 17, 37, 97.28, 2520
2026/06/23 17:46:45.571, 5473, 19, 38, 100.03, 2520
2026/06/23 17:46:50.633, 5473, 16, 37, 98.04, 2520
2026/06/23 17:46:55.733, 5473, 19, 38, 98.97, 2520
2026/06/23 17:47:00.833, 5473, 19, 37, 97.61, 2520
2026/06/23 17:47:05.913, 5473, 20, 37, 102.07, 2520
2026/06/23 17:47:11.009, 5473, 17, 37, 100.63, 2520
2026/06/23 17:47:16.115, 5473, 19, 38, 101.14, 2520
2026/06/23 17:47:21.214, 5473, 18, 38, 98.45, 2520
2026/06/23 17:47:26.313, 5473, 17, 38, 97.81, 2520
2026/06/23 17:47:31.372, 5473, 18, 38, 98.18, 2520
2026/06/23 17:47:36.449, 5473, 18, 38, 98.06, 2520
2026/06/23 17:47:41.530, 5473, 19, 38, 101.22, 2520
2026/06/23 17:47:46.592, 5473, 18, 37, 100.52, 2520
2026/06/23 17:47:51.670, 5473, 17, 37, 95.57, 2520
2026/06/23 17:47:56.769, 5473, 19, 38, 100.13, 2520
2026/06/23 17:48:01.851, 5473, 18, 38, 100.98, 2520
2026/06/23 17:48:06.950, 5473, 20, 38, 97.18, 2520
2026/06/23 17:48:12.051, 5473, 18, 37, 98.90, 2520
2026/06/23 17:48:17.149, 5473, 17, 37, 100.17, 2520
2026/06/23 17:48:22.258, 5473, 17, 38, 98.50, 2520
2026/06/23 17:48:27.320, 5473, 19, 38, 102.30, 2520
2026/06/23 17:48:32.417, 5473, 17, 37, 98.44, 2520
2026/06/23 17:48:37.525, 5473, 20, 38, 96.72, 2520
2026/06/23 17:48:42.623, 5473, 20, 38, 99.07, 2520
2026/06/23 17:48:47.722, 5473, 18, 38, 98.90, 2520
2026/06/23 17:48:52.802, 5473, 16, 37, 98.77, 2520
2026/06/23 17:48:57.882, 5473, 18, 38, 99.69, 2520
2026/06/23 17:49:02.962, 5473, 20, 38, 98.80, 2520
2026/06/23 17:49:08.043, 5473, 16, 37, 95.99, 2520
2026/06/23 17:49:13.123, 5473, 16, 37, 96.40, 2520
2026/06/23 17:49:18.226, 5473, 22, 38, 101.53, 2520
2026/06/23 17:49:23.326, 5473, 17, 37, 97.04, 2520
2026/06/23 17:49:28.426, 5473, 18, 38, 100.69, 2520
2026/06/23 17:49:33.530, 5473, 19, 38, 99.30, 2520
2026/06/23 17:49:38.630, 5473, 19, 37, 98.71, 2520
2026/06/23 17:49:43.729, 5473, 18, 37, 99.54, 2520
2026/06/23 17:49:48.826, 5473, 19, 38, 101.03, 2520
2026/06/23 17:49:53.926, 5473, 18, 37, 99.72, 2520
2026/06/23 17:49:59.005, 5473, 22, 39, 101.01, 2520
2026/06/23 17:50:04.102, 5473, 18, 38, 101.41, 2520
2026/06/23 17:50:09.202, 5473, 20, 38, 98.48, 2520
2026/06/23 17:50:14.302, 5473, 17, 37, 99.12, 2520
2026/06/23 17:50:19.403, 5473, 17, 37, 100.13, 2520
2026/06/23 17:50:24.506, 5473, 18, 37, 98.72, 2520
2026/06/23 17:50:29.605, 5473, 18, 38, 99.30, 2520
2026/06/23 17:50:34.687, 5473, 20, 38, 103.22, 2520
2026/06/23 17:50:39.766, 5473, 18, 37, 100.13, 2520
2026/06/23 17:50:44.870, 5473, 17, 37, 97.01, 2520
2026/06/23 17:50:49.970, 5473, 17, 37, 99.49, 2520
2026/06/23 17:50:55.062, 5473, 17, 37, 98.71, 2520
2026/06/23 17:51:00.141, 5473, 18, 37, 97.40, 2520
2026/06/23 17:51:05.237, 5473, 15, 37, 98.74, 2520
2026/06/23 17:51:10.318, 5473, 16, 37, 95.89, 2520
2026/06/23 17:51:15.381, 5473, 16, 37, 97.95, 2520
2026/06/23 17:51:20.445, 5493, 21, 38, 105.80, 2520
2026/06/23 17:51:25.488, 5493, 19, 37, 98.40, 2520
2026/06/23 17:51:30.548, 5493, 20, 38, 102.34, 2520
2026/06/23 17:51:35.650, 5493, 19, 37, 99.90, 2520
2026/06/23 17:51:40.730, 5493, 17, 37, 102.59, 2520
2026/06/23 17:51:45.793, 5493, 17, 37, 97.93, 2520
2026/06/23 17:51:50.853, 5493, 17, 37, 99.01, 2520
2026/06/23 17:51:55.954, 5493, 17, 37, 96.18, 2520
2026/06/23 17:52:01.058, 5493, 18, 37, 98.96, 2520
2026/06/23 17:52:06.138, 5493, 18, 38, 98.76, 2520
2026/06/23 17:52:11.221, 5493, 16, 37, 98.85, 2520
2026/06/23 17:52:16.281, 5493, 17, 38, 98.97, 2520
2026/06/23 17:52:21.377, 5493, 17, 37, 95.40, 2520
2026/06/23 17:52:26.441, 5493, 16, 37, 101.00, 2520
2026/06/23 17:52:31.534, 5493, 18, 37, 100.35, 2520
2026/06/23 17:52:36.592, 5493, 18, 37, 97.06, 2520
2026/06/23 17:52:41.689, 5493, 17, 37, 100.16, 2520
2026/06/23 17:52:46.795, 5493, 16, 38, 98.68, 2520
2026/06/23 17:52:51.893, 5493, 18, 37, 98.14, 2520
2026/06/23 17:52:56.991, 5493, 16, 37, 100.56, 2520
2026/06/23 17:53:02.091, 5493, 18, 37, 97.81, 2520
2026/06/23 17:53:07.192, 5493, 18, 38, 99.53, 2520
2026/06/23 17:53:12.298, 5493, 17, 37, 99.11, 2520
2026/06/23 17:53:17.361, 5493, 20, 38, 99.12, 2520
2026/06/23 17:53:22.458, 5493, 17, 37, 101.52, 2520
2026/06/23 17:53:27.539, 5493, 17, 37, 98.76, 2520
2026/06/23 17:53:32.645, 5493, 17, 38, 96.17, 2520
2026/06/23 17:53:37.746, 5493, 17, 37, 99.08, 2520
2026/06/23 17:53:42.826, 5493, 20, 37, 102.69, 2520
2026/06/23 17:53:47.906, 5493, 18, 38, 101.17, 2520
2026/06/23 17:53:52.969, 5493, 19, 38, 100.35, 2520
2026/06/23 17:53:58.070, 5493, 19, 37, 95.79, 2520
2026/06/23 17:54:03.134, 5493, 19, 38, 102.78, 2520
2026/06/23 17:54:08.238, 5493, 17, 37, 98.68, 2520
2026/06/23 17:54:13.319, 5493, 16, 37, 94.56, 2520
2026/06/23 17:54:18.382, 5493, 17, 37, 98.74, 2520
2026/06/23 17:54:23.486, 5493, 19, 38, 100.01, 2520
2026/06/23 17:54:28.566, 5493, 17, 37, 98.14, 2520
2026/06/23 17:54:33.646, 5493, 17, 38, 96.91, 2520
2026/06/23 17:54:38.746, 5493, 21, 38, 101.53, 2520
2026/06/23 17:54:43.809, 5493, 18, 37, 99.76, 2520
2026/06/23 17:54:48.887, 5493, 17, 37, 97.71, 2520
2026/06/23 17:54:53.949, 5493, 17, 38, 96.75, 2520
2026/06/23 17:54:59.030, 5493, 17, 37, 97.27, 2520
2026/06/23 17:55:04.126, 5493, 17, 38, 99.65, 2520
2026/06/23 17:55:09.226, 5493, 18, 38, 99.21, 2520
2026/06/23 17:55:14.326, 5493, 19, 37, 100.79, 2520
2026/06/23 17:55:19.405, 5493, 18, 37, 97.91, 2520
2026/06/23 17:55:24.505, 5493, 17, 37, 98.28, 2520
2026/06/23 17:55:29.603, 5493, 17, 37, 97.14, 2520
2026/06/23 17:55:34.683, 5493, 17, 37, 100.75, 2520
2026/06/23 17:55:39.787, 5493, 16, 37, 101.32, 2520
2026/06/23 17:55:44.886, 5493, 17, 37, 101.64, 2520
2026/06/23 17:55:49.987, 5493, 17, 37, 98.30, 2520
2026/06/23 17:55:55.086, 5493, 17, 37, 99.44, 2520
2026/06/23 17:56:00.152, 5493, 18, 38, 98.91, 2520
2026/06/23 17:56:05.212, 5493, 21, 38, 100.39, 2520
2026/06/23 17:56:10.289, 5493, 18, 38, 99.52, 2520
2026/06/23 17:56:15.365, 5493, 17, 37, 99.76, 2520
2026/06/23 17:56:20.424, 5493, 16, 37, 96.68, 2520
2026/06/23 17:56:25.502, 5493, 18, 37, 100.33, 2520
2026/06/23 17:56:30.565, 5493, 18, 38, 100.66, 2520
2026/06/23 17:56:35.661, 5493, 18, 37, 100.83, 2520
2026/06/23 17:56:40.743, 5493, 16, 38, 101.94, 2520
2026/06/23 17:56:45.822, 5493, 16, 38, 101.04, 2520
2026/06/23 17:56:50.902, 5493, 15, 37, 97.88, 2520
2026/06/23 17:56:55.983, 5493, 18, 37, 98.76, 2520
2026/06/23 17:57:01.044, 5493, 24, 38, 111.94, 2520
2026/06/23 17:57:06.142, 5493, 16, 37, 100.37, 2520
2026/06/23 17:57:11.242, 5493, 17, 38, 99.11, 2520
2026/06/23 17:57:16.342, 5493, 17, 37, 96.25, 2520
2026/06/23 17:57:21.422, 5493, 18, 37, 98.43, 2520
2026/06/23 17:57:26.522, 5493, 20, 37, 96.94, 2520
2026/06/23 17:57:31.622, 5493, 18, 37, 96.49, 2520
2026/06/23 17:57:36.721, 5493, 20, 38, 100.87, 2520
2026/06/23 17:57:41.822, 5493, 17, 37, 95.04, 2520
2026/06/23 17:57:46.930, 5493, 19, 37, 95.15, 2520
2026/06/23 17:57:52.030, 5493, 18, 37, 96.39, 2520
2026/06/23 17:57:57.132, 5493, 13, 37, 97.74, 2520
2026/06/23 17:58:02.234, 5493, 19, 38, 95.22, 2520
2026/06/23 17:58:07.335, 5493, 17, 37, 97.49, 2520
2026/06/23 17:58:12.396, 5493, 15, 37, 99.43, 2520
2026/06/23 17:58:17.492, 5493, 17, 37, 97.54, 2520
2026/06/23 17:58:22.592, 5493, 18, 37, 98.28, 2520
2026/06/23 17:58:27.690, 5493, 19, 37, 97.60, 2520
2026/06/23 17:58:32.789, 5493, 17, 37, 98.83, 2520
2026/06/23 17:58:37.853, 5493, 20, 38, 99.00, 2520
2026/06/23 17:58:42.912, 5493, 18, 38, 96.76, 2520
2026/06/23 17:58:47.990, 5493, 18, 37, 97.29, 2520
2026/06/23 17:58:53.069, 5493, 19, 38, 98.82, 2520
2026/06/23 17:58:58.169, 5493, 17, 37, 95.07, 2520
2026/06/23 17:59:03.271, 5493, 17, 38, 98.35, 2520
2026/06/23 17:59:08.350, 5493, 16, 38, 98.32, 2520
2026/06/23 17:59:13.453, 5493, 18, 38, 98.27, 2520
2026/06/23 17:59:18.516, 5493, 20, 38, 97.99, 2520
2026/06/23 17:59:23.593, 5493, 16, 37, 98.61, 2520
2026/06/23 17:59:28.674, 5493, 18, 38, 95.95, 2520
2026/06/23 17:59:33.773, 5493, 18, 38, 98.71, 2520
2026/06/23 17:59:38.878, 5493, 19, 38, 99.01, 2520
2026/06/23 17:59:43.941, 5493, 21, 37, 96.85, 2520
2026/06/23 17:59:49.042, 5493, 17, 37, 96.15, 2520
2026/06/23 17:59:54.141, 5493, 17, 38, 97.65, 2520
2026/06/23 17:59:59.246, 5493, 16, 37, 97.04, 2520
2026/06/23 18:00:04.347, 5493, 17, 38, 95.78, 2520
2026/06/23 18:00:09.446, 5493, 19, 38, 96.97, 2520
2026/06/23 18:00:14.547, 5493, 17, 38, 101.40, 2520
2026/06/23 18:00:19.645, 5493, 17, 38, 97.53, 2520
2026/06/23 18:00:24.742, 5493, 20, 37, 97.36, 2520
2026/06/23 18:00:29.822, 5493, 20, 37, 97.05, 2520
2026/06/23 18:00:34.922, 5493, 18, 37, 97.04, 2520
2026/06/23 18:00:40.002, 5493, 17, 37, 96.19, 2520
2026/06/23 18:00:45.106, 5493, 17, 37, 98.96, 2520
2026/06/23 18:00:50.206, 5493, 20, 38, 100.03, 2520
2026/06/23 18:00:55.310, 5493, 17, 38, 97.60, 2520
2026/06/23 18:01:00.389, 5493, 17, 37, 97.28, 2520
2026/06/23 18:01:05.452, 5493, 18, 37, 96.92, 2520
2026/06/23 18:01:10.529, 5493, 22, 37, 100.76, 2520
2026/06/23 18:01:15.629, 5493, 17, 37, 97.86, 2520
2026/06/23 18:01:20.710, 5493, 18, 38, 97.61, 2520
2026/06/23 18:01:25.790, 5493, 16, 37, 99.78, 2520
2026/06/23 18:01:30.853, 5493, 17, 37, 96.68, 2520
2026/06/23 18:01:35.935, 5493, 16, 37, 94.29, 2520
2026/06/23 18:01:40.979, 5493, 17, 37, 97.53, 2520
2026/06/23 18:01:46.086, 5493, 17, 37, 97.88, 2520
2026/06/23 18:01:51.186, 5493, 17, 37, 97.71, 2520
2026/06/23 18:01:56.266, 5493, 20, 38, 98.44, 2520
2026/06/23 18:02:01.328, 5493, 18, 37, 101.51, 2520
2026/06/23 18:02:06.391, 5493, 18, 37, 97.99, 2520
2026/06/23 18:02:11.470, 5493, 19, 38, 95.90, 2520
2026/06/23 18:02:16.549, 5493, 17, 37, 99.26, 2520
