timestamp,memory.used [MiB],utilization.gpu [%],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/06/23 18:20:59.838, 0, 0, 37, 63.33, 2520
2026/06/23 18:21:04.915, 0, 0, 35, 20.08, 255
2026/06/23 18:21:09.996, 3455, 21, 37, 77.78, 2520
2026/06/23 18:21:15.039, 3459, 22, 37, 94.23, 2520
2026/06/23 18:21:20.142, 3459, 19, 37, 93.50, 2520
2026/06/23 18:21:25.222, 3459, 19, 37, 92.29, 2520
2026/06/23 18:21:30.302, 3459, 18, 37, 93.71, 2520
2026/06/23 18:21:35.365, 3459, 19, 37, 91.44, 2520
2026/06/23 18:21:40.443, 3459, 19, 37, 91.73, 2520
2026/06/23 18:21:45.542, 3459, 21, 37, 93.25, 2520
2026/06/23 18:21:50.645, 3459, 20, 37, 91.87, 2520
2026/06/23 18:21:55.686, 3459, 21, 37, 94.16, 2520
2026/06/23 18:22:00.728, 3459, 18, 37, 93.91, 2520
2026/06/23 18:22:05.823, 3459, 17, 37, 92.99, 2520
2026/06/23 18:22:10.901, 3459, 19, 37, 93.13, 2520
2026/06/23 18:22:16.005, 3461, 18, 37, 93.34, 2520
2026/06/23 18:22:21.107, 3461, 18, 37, 93.04, 2520
2026/06/23 18:22:26.205, 3461, 21, 37, 92.73, 2520
2026/06/23 18:22:31.305, 3461, 21, 37, 92.90, 2520
2026/06/23 18:22:36.406, 3461, 21, 37, 93.00, 2520
2026/06/23 18:22:41.469, 3461, 20, 37, 92.57, 2520
2026/06/23 18:22:46.569, 3461, 19, 37, 94.43, 2520
2026/06/23 18:22:51.645, 3461, 20, 37, 93.25, 2520
2026/06/23 18:22:56.746, 3461, 19, 37, 92.79, 2520
2026/06/23 18:23:01.808, 3461, 19, 37, 91.48, 2520
2026/06/23 18:23:06.868, 3461, 19, 37, 92.62, 2520
2026/06/23 18:23:11.965, 3461, 18, 37, 91.54, 2520
2026/06/23 18:23:17.062, 3461, 18, 37, 91.02, 2520
2026/06/23 18:23:22.125, 3461, 18, 37, 93.46, 2520
2026/06/23 18:23:27.216, 3461, 20, 37, 91.57, 2520
2026/06/23 18:23:32.313, 3461, 19, 37, 93.23, 2520
2026/06/23 18:23:37.413, 3461, 21, 37, 93.00, 2520
