timestamp,memory.used [MiB],utilization.gpu [%],temperature.gpu,power.draw [W],clocks.sm [MHz]
2026/06/23 18:40:12.754, 0, 0, 37, 64.16, 2520
2026/06/23 18:40:17.849, 0, 0, 35, 20.66, 240
2026/06/23 18:40:22.891, 3517, 23, 37, 102.90, 2520
2026/06/23 18:40:27.990, 3579, 24, 38, 111.98, 2520
2026/06/23 18:40:33.070, 3579, 27, 39, 118.38, 2520
2026/06/23 18:40:38.151, 3579, 27, 39, 117.71, 2520
2026/06/23 18:40:43.212, 3581, 27, 39, 123.91, 2520
2026/06/23 18:40:48.310, 3581, 25, 39, 116.83, 2520
2026/06/23 18:40:53.391, 3581, 24, 39, 117.24, 2520
2026/06/23 18:40:58.453, 3581, 26, 39, 118.76, 2520
2026/06/23 18:41:03.535, 3581, 27, 39, 116.63, 2520
2026/06/23 18:41:08.597, 3581, 26, 39, 117.63, 2520
2026/06/23 18:41:13.661, 3581, 26, 39, 116.07, 2520
2026/06/23 18:41:18.738, 3581, 27, 39, 119.40, 2520
2026/06/23 18:41:23.800, 3581, 26, 39, 111.98, 2520
2026/06/23 18:41:28.902, 3581, 24, 39, 110.09, 2520
2026/06/23 18:41:34.004, 3581, 28, 40, 117.86, 2520
2026/06/23 18:41:39.103, 3581, 27, 40, 118.37, 2520
2026/06/23 18:41:44.202, 3581, 23, 39, 111.92, 2520
2026/06/23 18:41:49.302, 3581, 27, 40, 118.04, 2520
2026/06/23 18:41:54.383, 3581, 25, 39, 115.94, 2520
2026/06/23 18:41:59.462, 3581, 25, 39, 115.77, 2520
2026/06/23 18:42:04.504, 3581, 25, 39, 113.28, 2520
2026/06/23 18:42:09.602, 3581, 26, 40, 118.02, 2520
2026/06/23 18:42:14.701, 3581, 27, 40, 114.95, 2520
2026/06/23 18:42:19.802, 3581, 24, 39, 113.14, 2520
2026/06/23 18:42:24.902, 3581, 26, 40, 120.15, 2520
2026/06/23 18:42:29.964, 3581, 24, 40, 119.26, 2520
2026/06/23 18:42:35.050, 3581, 24, 39, 115.67, 2520
2026/06/23 18:42:40.134, 3581, 24, 39, 112.03, 2520
2026/06/23 18:42:45.213, 3581, 21, 40, 117.45, 2520
2026/06/23 18:42:50.290, 3581, 23, 39, 113.81, 2520
2026/06/23 18:42:55.370, 3581, 25, 39, 120.33, 2520
2026/06/23 18:43:00.432, 3581, 26, 40, 118.62, 2520
2026/06/23 18:43:05.491, 3581, 24, 39, 112.00, 2520
2026/06/23 18:43:10.569, 3581, 23, 40, 117.66, 2520
2026/06/23 18:43:15.613, 3581, 25, 40, 118.64, 2520
2026/06/23 18:43:20.694, 3581, 26, 40, 118.97, 2520
2026/06/23 18:43:25.774, 3581, 24, 39, 114.29, 2520
2026/06/23 18:43:30.871, 3581, 26, 40, 117.78, 2520
2026/06/23 18:43:35.932, 3581, 24, 39, 114.85, 2520
2026/06/23 18:43:40.993, 3581, 26, 40, 117.06, 2520
2026/06/23 18:43:46.071, 3581, 24, 40, 117.54, 2520
2026/06/23 18:43:51.170, 3581, 27, 40, 118.61, 2520
2026/06/23 18:43:56.270, 3581, 27, 40, 119.53, 2520
2026/06/23 18:44:01.370, 3581, 26, 39, 110.62, 2520
2026/06/23 18:44:06.471, 3581, 26, 40, 118.18, 2520
2026/06/23 18:44:11.570, 3581, 27, 40, 123.13, 2520
2026/06/23 18:44:16.632, 3581, 24, 39, 118.85, 2520
2026/06/23 18:44:21.710, 3581, 24, 39, 111.49, 2520
2026/06/23 18:44:26.809, 3581, 26, 40, 118.97, 2520
2026/06/23 18:44:31.873, 3581, 26, 40, 119.23, 2520
2026/06/23 18:44:36.971, 3581, 26, 40, 115.58, 2520
2026/06/23 18:44:42.051, 3581, 27, 40, 119.18, 2520
2026/06/23 18:44:47.150, 3581, 25, 39, 115.35, 2520
2026/06/23 18:44:52.213, 3581, 23, 39, 109.69, 2520
2026/06/23 18:44:57.310, 3581, 25, 40, 117.10, 2520
2026/06/23 18:45:02.373, 3581, 24, 40, 116.36, 2520
2026/06/23 18:45:07.470, 3581, 28, 40, 118.82, 2520
2026/06/23 18:45:12.570, 3581, 28, 40, 119.14, 2520
2026/06/23 18:45:17.670, 3581, 24, 39, 115.32, 2520
2026/06/23 18:45:22.773, 3581, 25, 39, 113.08, 2520
2026/06/23 18:45:27.849, 3581, 25, 39, 111.83, 2520
2026/06/23 18:45:32.926, 3581, 26, 39, 119.14, 2520
2026/06/23 18:45:38.002, 3581, 25, 40, 113.07, 2520
2026/06/23 18:45:43.083, 3581, 24, 40, 114.07, 2520
2026/06/23 18:45:48.182, 3581, 26, 40, 116.29, 2520
2026/06/23 18:45:53.245, 3581, 25, 40, 119.85, 2520
2026/06/23 18:45:58.327, 3581, 24, 39, 117.62, 2520
2026/06/23 18:46:03.426, 3581, 25, 40, 117.57, 2520
2026/06/23 18:46:08.489, 3581, 23, 39, 115.13, 2520
2026/06/23 18:46:13.586, 3581, 25, 39, 116.80, 2520
2026/06/23 18:46:18.685, 3581, 26, 40, 117.36, 2520
2026/06/23 18:46:23.785, 3581, 21, 39, 113.20, 2520
2026/06/23 18:46:28.893, 3581, 24, 39, 110.16, 2520
2026/06/23 18:46:33.995, 3581, 25, 39, 117.86, 2520
2026/06/23 18:46:39.098, 3581, 24, 39, 114.64, 2520
2026/06/23 18:46:44.200, 3581, 27, 40, 115.17, 2520
2026/06/23 18:46:49.281, 3581, 25, 40, 119.21, 2520
2026/06/23 18:46:54.381, 3581, 24, 39, 115.96, 2520
2026/06/23 18:46:59.483, 3581, 25, 39, 116.02, 2520
2026/06/23 18:47:04.586, 3581, 24, 39, 114.35, 2520
2026/06/23 18:47:09.685, 3581, 24, 39, 113.43, 2520
2026/06/23 18:47:14.787, 3581, 24, 39, 116.32, 2520
2026/06/23 18:47:19.867, 3581, 26, 40, 115.07, 2520
2026/06/23 18:47:24.929, 3581, 27, 40, 116.57, 2520
2026/06/23 18:47:30.010, 3581, 25, 39, 113.42, 2520
2026/06/23 18:47:35.073, 3581, 25, 40, 112.28, 2520
2026/06/23 18:47:40.137, 3581, 25, 39, 119.03, 2520
2026/06/23 18:47:45.233, 3581, 25, 39, 114.15, 2520
2026/06/23 18:47:50.309, 3581, 26, 40, 115.67, 2520
2026/06/23 18:47:55.410, 3581, 26, 40, 117.28, 2520
