adapter_dir,answer_hit,average_candidate_tie_rate,delta_ndcg5_vs_pytorch,delta_r1_vs_pytorch,effective_epochs,effectiveness_comparable,eval_runtime_sec,exact_match,experiment_name,framework,git_commit,gold_in_context,hardware,inference_runtime_sec,max_steps,max_tie_group_size,method,model,mrr,ndcg_at_5,num_pairs,num_queries,output_dir,pair_count,pairwise_accuracy,parse_failure_count,parse_failure_rate,peak_gpu_memory_mib,query_count,query_tie_rate,questions,recall_at_1,recall_at_3,recall_at_5,run_name,scoring_method,section,source_path,status,successes,test_path,token_f1,top_k,train_runtime_sec,training_pairs
,,,,,,True,,,,,,,,,,,BM25,,0.44759761904761924,0.5074477818389626,,,,4044,0.6253015873015875,,,,500,,,0.23,0.554,0.784,,,main_reranking,outputs/cost_effectiveness_table.json,,,,,,,
,,,,,,True,,,,,,,,,,,Jittor MLP,,0.4317920634920631,0.4697548088809149,,,,4044,0.5900865079365076,,,,500,,,0.228,0.506,0.712,,,main_reranking,outputs/cost_effectiveness_table.json,,,,,,,
,,,,,,True,,,,,,,,,,,Jittor TextCNN,,0.39119206349206315,0.4269635016598258,,,,4044,0.5484396825396828,,,,500,,,0.18,0.45,0.678,,,main_reranking,outputs/cost_effectiveness_table.json,,,,,,,
,,,,,,True,,,,,,,,,,,Qwen2.5-1.5B zero-shot reranker,,0.45254999999999995,0.520968967547992,,,,4044,0.634153968253968,,,,500,,,0.236,0.552,0.812,,,main_reranking,outputs/cost_effectiveness_table.json,,,,,,,
,,,,,,True,,,,,,,,,,,Qwen2.5-1.5B LoRA 10k-rerun,,0.5632658730158726,0.6236426005637636,,,,4044,0.7343301587301588,,,,500,,,0.356,0.696,0.866,,,main_reranking,outputs/cost_effectiveness_table.json,,,,,,,
,,,,,,True,,,,,,,,,,,Cross-Encoder,,0.6340539682539681,0.7018796875589168,,,,4044,0.8048626984126984,,,,500,,,0.434,0.808,0.934,,,main_reranking,outputs/cost_effectiveness_table.json,,,,,,,
,,,,,,,,,,PyTorch,,,,,,,,MLP,0.40792539682539647,0.4475271713865515,,,,,,,,,,,,0.192,0.478,0.7,,,pytorch_jittor_alignment,outputs/l2_msmarco_medium_results.json,,,,,,,
,,,0.022227637494363406,0.036000000000000004,,,,,,Jittor,,,,,,,,MLP,0.4317920634920631,0.4697548088809149,,,,,,,,,,,,0.228,0.506,0.712,,,pytorch_jittor_alignment,outputs/l2_msmarco_medium_results.json,,,,,,,
,,,,,,,,,,PyTorch,,,,,,,,TextCNN,0.3952912698412692,0.44632813056927656,,,,,,,,,,,,0.172,0.496,0.722,,,pytorch_jittor_alignment,outputs/l2_msmarco_medium_results.json,,,,,,,
,,,-0.019364628909450787,0.008000000000000007,,,,,,Jittor,,,,,,,,TextCNN,0.39119206349206315,0.4269635016598258,,,,,,,,,,,,0.18,0.45,0.678,,,pytorch_jittor_alignment,outputs/l2_msmarco_medium_results.json,,,,,,,
,,,,,6.4,,460.5405297279358,,1k,,,,NVIDIA GeForce RTX 4090 D,,800,,,,0.5125095238095239,0.5807955973600142,,,,,0.6933769841269843,,,4679.4462890625,,,,0.288,0.668,0.852,,,lora_data_size_ablation,outputs/lora_ablation_results.json,,,,,,1332.110336780548,1000
,,,,,2.1333333333333333,,453.90749526023865,,3k,,,,NVIDIA GeForce RTX 4090 D,,800,,,,0.5626976190476188,0.6186629915357543,,,,,0.723977777777778,,,4743.51123046875,,,,0.362,0.692,0.854,,,lora_data_size_ablation,outputs/lora_ablation_results.json,,,,,,1271.9508380889893,3000
,,,,,0.64,,444.2874002456665,,10k-rerun,,,,NVIDIA GeForce RTX 4090 D,,800,,,,0.5632658730158726,0.6236426005637636,,,,,0.7343301587301588,,,16509.29443359375,,,,0.356,0.696,0.866,,,lora_data_size_ablation,outputs/lora_ablation_results.json,,,,,,187.8953287601471,10000
outputs/lora_adapters/qwen_1_5b_10k_lr1e4_s800_rerun,,0.9989920634920636,,,,,,,,,fd98e372e54e5b7308a4117c4eafca217ac8a63c,,NVIDIA GeForce RTX 4090 D,904.7538783550262,,10,,,0.3490412698412696,0.3847713247890926,4044,500,outputs/lora_scoring_ablation/generate_parse,,0.0011547619047619047,4,0.0009891196834817012,,,1.0,,0.128,0.424,0.646,,generate_parse,scoring_method_ablation,outputs/lora_scoring_ablation_results.json,ready,,data/processed/lora_qwen_1_5b_10k/test_queries.jsonl,,,,
outputs/lora_adapters/qwen_1_5b_10k_lr1e4_s800_rerun,,0.0023158730158730156,,,,,,,,,fd98e372e54e5b7308a4117c4eafca217ac8a63c,,NVIDIA GeForce RTX 4090 D,227.46955943107605,,2,,,0.5637134920634916,0.6254163061782327,4044,500,outputs/lora_scoring_ablation/relevant_logprob,,0.7357896825396827,0,0.0,,,0.008,,0.356,0.698,0.87,,relevant_logprob,scoring_method_ablation,outputs/lora_scoring_ablation_results.json,ready,,data/processed/lora_qwen_1_5b_10k/test_queries.jsonl,,,,
outputs/lora_adapters/qwen_1_5b_10k_lr1e4_s800_rerun,,0.0029825396825396825,,,,,,,,,fd98e372e54e5b7308a4117c4eafca217ac8a63c,,NVIDIA GeForce RTX 4090 D,454.04974126815796,,2,,,0.5632658730158726,0.6236426005637636,4044,500,outputs/lora_scoring_ablation/logprob_margin,,0.7343301587301588,0,0.0,,,0.01,,0.356,0.696,0.866,,logprob_margin,scoring_method_ablation,outputs/lora_scoring_ablation_results.json,ready,,data/processed/lora_qwen_1_5b_10k/test_queries.jsonl,,,,
,0.22,,,,,,,0,,,,0.68,,,,,bm25,,,,,,outputs/downstream_rag_eval,,,,,,,,50,,,,Qwen2.5-1.5B + Original Prompt,,downstream_rag,outputs/downstream_rag_eval/downstream_rag_eval_results.json,,11,,0.16464600459747955,3,,
,0.28,,,,,,,0.04,,,,0.72,,,,,lora_v3,,,,,,outputs/downstream_rag_eval,,,,,,,,50,,,,Qwen2.5-1.5B + Original Prompt,,downstream_rag,outputs/downstream_rag_eval/downstream_rag_eval_results.json,,14,,0.2107792067763531,3,,
,0.28,,,,,,,0,,,,0.88,,,,,cross_encoder,,,,,,outputs/downstream_rag_eval,,,,,,,,50,,,,Qwen2.5-1.5B + Original Prompt,,downstream_rag,outputs/downstream_rag_eval/downstream_rag_eval_results.json,,14,,0.20575087755536586,3,,
